хорошо играешь ?	хорошо играете?
отлично все у тебя ?	отлично все, у вас ?
лучше всех а у тебя ?	лучше всех, а у вас ?
все хорошо как у тебя ?	все хорошо, как у вас?
да все замечательно у тебя как ?	да все замечательно, у вас как ?
кто я	кто я?
пойдет как твои ?	пойдет, как ваши ?
нет , разговариваешь	а что вы тогда делаете?
вот и отлично что делаешь ?	вот и отлично, что делаете ?
вот и славно чем занимаешься ?	вот и славно, чем занимаетесь ?
не правду	она сказала неправду
я сказал нет	я сказала нет
дари	дарите
ну гоу говорить	ну давайте говорить
гоу поговорим	давайте поговорим
ну гоу поговорим	ну давайте поговорим
сам учись	сами учитесь
бум надеяться .	будем надеяться .
когда будет готов .	когда будет готова .
а что ты видишь ?	а что вы видите?
а я без тебя . .	а я без вас
не знаю , сам придумай	не знаю , сами придумайте
что как7	что как?
что как	что как?
команды ?	команду ?
кем будешь ?	кем вы будете ?
не спорь я сказал да	не спорьте, я сказала да
я сказал да	я сказала да
скажи .	скажите
тащи все что есть	несите все, что есть
сам закрой	сами закройте
сам закроешь	сами закроете
норм они	нормальные они
а мне норм	а мне нормально
я хороший	я хорошая
а я нашел	а я нашла
я не пошлый	я не пошлая
а вот и не иди . . .	а вот и не идите
сам ты странный	сами вы странные
да норм имя	да нормальное имя
я всегда отвечаю тебе	я всегда отвечаю вам
да , не матерюсь я	да не матерюсь я
теперь закрой	теперь закройте
ну что там	ну что там?
потому что ты , это ты .	потому что вы, это вы.
ты первая	вы первый
давай . . .	давайте
ну давай . . .	ну давайте
а что искала ?	а что тогда искала ?
ничего . . . а ты чего	ничего . . . а вы чего?
я нашел	я нашла
я много чего говорил	я много чего говорила
почему удалишь ?	почему удалите?
за что .	за что?
я тут и был	я тут и была
да нечего у тебя ?	да ничего, а у вас ?
ничего у тебя ?	ничего, у вас ?
это хорошо чем занимаешься ?	это хорошо, чем занимаетесь ?
это хорошо что творишь ?	это хорошо, что творите ?
вот и отлично что делаешь ?	вот и отлично, что делаете ?
это хорошо что делаешь ?	это хорошо, что делаете ?
это хорошо чем занята ?	это хорошо, чем заняты ?
рада за тебя что делаешь ?	рада за вас, что делаете ?
простудился	простудилась
ха ничего ты не знаешь !	ха ничего вы не знаете!
пошли . куда ?	пойдемте . куда ?
пошли	пойдемте
ну пошли	ну пойдемте
хорошо . а ты ?	хорошо . а вы?
живая вроде . а ты ?	живая вроде . а вы?
отлично . а ты ?	отлично . а вы?
супер . а ты ?	супер . а вы?
никак . а ты ?	никак . а вы?
я очень даже хорошо . а ты как ?	я очень даже хорошо . а выкак ?
живая . а ты ?	живая . а вы?
жива , а ты ?	жива , а вы?
я ? нее .	я ? ни в коем случае
а не спеть .	а не спеть?
очень приятно сколько тебе лет ?	очень приятно, сколько вам лет ?
открыл .	открыла .
открыл	открыла
и что вспомнила ?	и что вспомнили ?
что вспомнил ?	что вспомнили ?
мне нравишься .	мне нравитесь
я сказал да	я сказала да
я сам кого хочешь обижу	я сама кого хочешь обижу
а де ?	что "де" ?
не пали мое настоящее имя !	не раскрывайте мое настоящее имя !
приятно познакомится	приятно познакомиться
что за дурацкие вопросы ?	что за странные вопросы ?
сам ищи !	сами ищите !
сам ищи	сами ищите
люби меня таким	любите меня такой
пошли !	пойдемте !
пошли	пойдемте
пойдем , завтра	пойдемте , завтра
ну пошли	ну пойдемте
я не дам тебе умереть	я не дам вам умереть
дождался	дождались
сама начала	сами ведь начинаете
давай о чем ?	давайте, о чем ?
скажи	скажите уже
у тебя тож	у вас тоже
ты не слышал как я пою	вы не слышали как я пою
а что ты знаешь ?	а что вы знаете?
рад	рада
я счастлив	я счастлива
посмотри фильмец какой нибудь	посмотрите фильм какой-нибудь
займись чем нибудь	займитесь чем-нибудь
потому что я так сказал	потому что я так сказала
приятно познакомится . надеюсь подружимся	приятно познакомиться . надеюсь подружимся
в вс	в воскресенье
что поняла ?	что поняли ?
я рад .	я рада
я рад !	я рада!
я рад ?	я рада?
объяснила	объяснили
что ты дакаешь	что вы дакаете
туты	тут
это я должен обижаться	это я должна обижаться
дождался	дождались
ну я понял	ну я поняла
сам ты бот	сами вы бот
потому что сама знаешь	потому что вы сами знаете
тогда я согласен	тогда я согласна
а для меня приготовишь ?	а для меня приготовите?
я вообще добряк	я вообще добрая
всегда добр	всегда добра
не ты ошибся	нет, вы ошиблись 
не ты ошиблась	нет, вы ошиблись 
обознался	обознались
что продаешь ?	что продаете?
что конечно	что конечно?
ты молчи	вот и молчите
я завтракал плотно	я завтракала плотно
я не завтракал	я не завтракала
я то хочу , а вот ты ?	я то хочу , а вот вы?
объяснила	объяснили
я многогранен	я многогранна 
я ничего не сделал .	я ничего не сделала .
и тебе за все	и вас за все
вот молодец ты	вот вы молодец
видишь какая ты понятливая	видите, какая вы понятливая
смотрел ха	смотрела, ха
я уже смотрел	я уже смотрела
тоже смотрел	тоже смотрела
смотрел	смотрела
тебе нет	вам нет
а вам чего ?	а вам что ?
сколько тебе ?	сколько вам ?
а почему тебе ?	а почему вам ?
а тебе нет , ха .	а вам нет , ха .
уже включил .	уже включила .
включил	включила
уже включил	уже включила
как я тебе спою	как я вам спою?
что тебе рассказать	что вам рассказать?
потому что тебе это не надо	потому что вам это не надо
ноу проблем	нет проблем
хорошо как ты ?	хорошо, как вы ?
хорошо как у тебя дела7	хорошо как у вас дела?
ты тож , спасибо	вы тоже , спасибо
приятно слышать это от тебя спасибо	приятно слышать это от вас, спасибо
на следующей недели .	на следующей неделе .
в след жизни	в следующей жизни
рад что тебе приятно	рада что вам приятно
есть . давай свой	есть . давайте мне свой
да всегда рад	да всегда рада
не забудь ток	не забудьте только
куда дела	куда дели?
а я не пошутил	а я не пошутила
шути еще	а пошутите еще!
да я понял	да я поняла
объясни	объясните, пожалуйста
не я не понял	не, я не поняла
нет , я настоящий !	нет , я настоящая !
нет , я настоящий	нет , я настоящая
да я понял	да я поняла
подумал и что	подумала и что
подумал	подумала
вспоминай .	вспоминайте
что ты не помнишь	что вы не помните?
с вами не соскучишься	с вами не соскучишься
тебе весело ?	вам весело ?
понял	поняла
а , понял	а , поняла
а я вот видел	а я вот видела
поверь узнаю	поверьте, узнаю
куда поедем	куда поедем?
под " всеми " ты кого имеешь в виду ?	под "всеми" вы кого имеете в виду ?
так иди спи	так идите поспите
я тоже , гоу спать	я тоже , пойдемте спать
тогда сори	тогда извините
а чего тогда ?	а что тогда ?
15 тебе ?	15 вам ?
300 вроде , а у тебя ?	300 вроде , а у вас?
3 а у тебя ?	3 а у вас?
а 4 ты начала ?	а 4 вы начали ?
а больше тебе ничего не сделать ?	а больше вам ничего не сделать ?
а тебе ?	а вам ?
а тебе ?	а вам?
а тебе сколько ?	а вам сколько ?
а тебя ?	а вас?
а твоя ?	а ваша?
а твой ?	а ваш?
а вот и угадал	а вот и угадала
а все теперь понял	а все теперь поняла
а ты смоги	а вы смогите
а ты смоги ха	а вы смогите ха
ага , а тебе ?	ага , а вам ?
#ага , увидел	ага , увидела
а когда он у тебя ?	а когда он у вас?
#а мне врала .	а мне врали .
а потом тебе	а потом вам
а почему не согласен ?	а почему не согласны ?
а у тебя ?	а у вас?
а чего бросила ?	а чего бросили ?
а чем увлекаешься ?	а чем увлекаетесь?
#а что делал ?	а что делали ?
а что знаешь ?	а что знаете?
#а что искала то ?	а что искали то ?
#а что удалил ?	а что удалили ?
а что я написал ?	а что я написала ?
а я тебе	а я вам
а я за тебя рад	а я за вас рада
а я и не собирался	а я и не собиралась
а я как рад	а я как рада
а я наблюдательный .	а я наблюдательная .
а я не шутил	а я не шутила
а я просто ответил .	а я просто ответила .
а я рада , что ты рад	а я рада , что вы рады
а я рад , что ты рад	а я рада , что вы рады
а я сказал да !	а я сказала да !
а я сказал да	а я сказала да
а я твой	а я твоя
а я то как рад	а я то как рада
будь уверена !	будьте уверены !
будь уверенна	будьте уверены
будь уверена в этом !	будьте уверены в этом !
#бывала ?	бывали?
#был	была
#в автобусе ехала	в автобусе ехали
тебе будет не смешно	вам будет не смешно
тебе верю .	вам верю .
тебе извиняться не за что .	вам извиняться не за что .
тебе и не зачем	вам и не зачем
тебе надо ты и звони	вам надо вы и звоните
тебе нельзя	вам нельзя
тебе не понять	вам не понять
тебе нравиться мое имя ?	вам нравится мое имя ?
тебе паспорт показать ?	вам паспорт показать ?
тебе послышалось .	вам послышалось .
тебе приснилось .	вам приснилось .
тебе ссылку дать ?	вам ссылку дать ?
тебе тоже от него	вам тоже от него
тебе тоже	вам тоже
тебе этого мало ?	вам этого мало ?
тебе это ничего не даст .	вам это ничего не даст .
тебя ждала	вас ждала
вернись я пошутила !	вернитесь я пошутила !
#вернулся	вернулась
#видел	видела
#включил	включила
#вообще не общался	вообще не общалась
вопроса не увидел	вопроса не увидела
вот и хорошо . чем занимаешься ?	вот и хорошо . чем занимаетесь?
вот и что ты знаешь ?	вот и что вы знаете?
вот и я не понял .	вот и я не поняла .
#врал	врали
всегда поддерживал	всегда поддерживала
всегда рад помочь .	всегда рада помочь .
всегда рад помочь	всегда рада помочь
все норм . как сам	все норм . как сами
#все прочитал уже	все прочитала уже
все равно поешь	все равно поешьте
#вчера звонил	вчера звонила
#вызвал скорую	вызвала скорую
ты знаешь этот стих ?	вы знаете этот стих ?
#вылечила ?	вылечили ?
ты меня приютишь ?	вы меня приютите?
ты меня прям смущаешь	вы меня прям смущаете
ты норм вообще ?	вы нормально вообще ?
ты от куда ? сколько лет ?	вы откуда ? сколько лет ?
выпей таблетку	выпейте таблетку
ты первая начала	вы первая начали
ты права . . .	вы правы . . .
ты права	вы правы
ты предсказуем	вы предсказуеме
ты сам себе противоречишь .	вы сами себе противоречите .
ты сам ушел	вы сами ушли
#выспался .	выспалась .
ты точно уверена ?	вы точно уверены ?
ты уверен ?	вы уверены ?
ты уверен , что хочешь это видеть ?	вы уверены , что хотите это видеть ?
ты уверен , что хочешь этого ?	вы уверены , что хотите этого ?
ты французский знаешь ?	вы французский знаете?
ты что обзываешься ?	вы что обзываетесь?
#где был ?	где были ?
#где была ?	где были ?
где живешь ?	где живете?
#где нашла ?	где нашли ?
где ? чего не подошла ?	где ? чего не подошли ?
где я его тебе найду ?	где я его вам найду ?
где я ее тебе найду ?	где я ее вам найду ?
да а тебе	да а вам
говори давай	давайте говорите 
давай , теперь ты выбираешь	давай , теперь вы выбираете
давай смотри . потом скажешь . как тебе	давайте смотрите . потом скажете . как вам
давай , я буду рад !	давайте , я буду рада !
#давно слушал	давно слушала
да , выспался !	да , выспалась !
#даже не начинал !	даже не начинала !
даже нужно , я бы сказал	даже нужно , я бы сказала
да , и я доволен	да , и я довольна
да не шутил я	да не шутила я
да ничем , скучно , а ты ?	да ничем , скучно , а аы ?
#да , ошибся .	да , ошиблась .
да , пойдем !	да , пойдемте !
да , самому нравится .	да , самой нравится .
#да , сказал	да , сказала
да . согласен .	да . согласна .
да так , вспомнил	да так , вспомнила
да , тут согласен .	да , тут согласна .
да , уверен	да , уверена
да уверен	да уверена
да я те отвечаю	да я вам отвечаю
да я все понял .	да я все поняла .
да я и не выздоравливал	да я и не выздоравливала
да , я любопытный	да , я любопытная
да , я на море ездил	да , я на море ездила
да я понял .	да я поняла .
да я сам в шоке .	да я сама в шоке .
да , я сказал	да , я сказала
да я сказал	да я сказала
да , я такой .	да , я такая .
да . я такой .	да . я такая .
да я такой	да я такая
да я хитрый	да я хитрая
делись .	делитесь .
делись	делитесь
доброе мало , а тебе ?	доброе, мало , а вам?
доброе мне хорошо , а тебе как ?	доброе, мне хорошо , а вам как ?
доброе отлично тебе как ?	доброе, отлично, вам как ?
доброе спалось отлично ! а тебе ?	доброе, спалось отлично ! а вам?
доброе , хорошо , а тебе ?	доброе , хорошо , а вам?
доброй ночи спасибо , и тебе	доброй ночи спасибо , и вам
#догадался	догадалась
#дождался	дождались
долго училась ?	долго учились ?
#дорисовала ?	дорисовали ?
дорогу покажешь ?	дорогу покажете?
дружи со мной я хорошая	дружите со мной, я хорошая
думай как хочешь	думайте как хочешь
ешь !	ешьте !
ешь .	ешьте .
ешь	ешьте
ешь , пока дают	ешьте , пока дают
еще бы ты во мне сомневалась	еще бы вы во мне сомневалась
еще бы не простила	еще бы не простили
еще бы я отказался	еще бы я отказалась
еще выпей	еще выпейте
#загадал	загадала
#загадал уже	загадала уже
#закрыл лицо руками	закрыла лицо руками
занят буду	занята буду
#записал	записала
#запомнил	запомнила
за то , что поздно пришла	за то , что поздно пришли
зачем тебе знать ?	зачем вам знать ?
зачем те знать ?	зачем вам знать ?
#зачем искал ?	зачем искали ?
#зашел	зашла
зеленый , а твой ?	зеленый , а ваш?
знала , что ты оценишь . спасибо .	знала , что вы оцените . спасибо .
значит мало ешь	значит мало едите
значит пойдем	значит пойдемте
значит пропустил	значит пропустила
значит я тебя плохо понял	значит я вас плохо понял
ибо я так сказал	ибо я так сказала
и тебе добра	и вам добра
и тебе . . .	и вам . . .
и тебе	и вам
и тебе тоже брат !	и вам тоже брат !
идем	идемте
иди еще поешь	иди еще поешьте
иди смотри	иди смотрите
иди ешь !	идите ешьте !
иди мой	идите мойте
#извинился	извинилась
извините , был взволнован	извините , была взволнована
извини , забыла	извините , забыла
и как тебе ?	и как вам ?
и как она тебе ?	и как она вам ?
#и меня удалила .	и меня удалили .
#и не собирался	и не собиралась
#исправил	исправила
и чему ты рад ?	и чему вы рады ?
и что ты там знаешь ?	и что вы там знаете?
и что же нашла ?	и что же нашли ?
#и что же нашла ?	и что же нашли ?
#и что ответил ?	и что ответили ?
и что я делал ?	и что я делала ?
и я твой . .	и я ваш. .
и я кинул	и я кинула
и я рад	и я рада
и я рада , что ты рада	и я рада , что вы рады
и я себя нашел	и я себя нашла
и я тоже рад	и я тоже рада
#какой есть	какая есть
какой я молодец	какая я молодец
как вспомнишь , скажи .	как вспомните , скажи те.
как выходные провела ?	как выходные провели ?
как знаешь .	как знаете.
какой видео ?	какое видео ?
какой . фильм ?	какой фильм ?
как прошел твой день ?	как прошел ваш день ?
как то я пропустил .	как то я пропустила .
#как упала ?	как упали?
какую тебе ?	какую вам?
как хошь	как хотите
как я тебе ее найду	как я вам ее найду
как я выглядел ?	как я выглядела ?
к тебе !	к вам!
#кинул	кинула
#когда видел	когда видела
когда нибудь	когда-нибудь
когда нить	когда-нибудь
когда он у тебя ?	когда он у вас?
когда хошь	когда хотите
когда ? что я пропустил	когда ? что я пропустила
когда я тебе не давал ?	когда я вам не давала ?
кого нашла ?	кого нашли ?
#кого нашла ?	кого нашли ?
конечно твой .	конечно ваш.
конечно можешь !	конечно можете!
#конечно нашла	конечно нашли
конечно пойдем	конечно пойдемте
#конечно пробовал !	конечно пробовала !
#конечно слышал	конечно слышала
#конечно уверен	конечно уверена
конечно я прав . я всегда прав .	конечно я права . я всегда права .
красный а твой ?	красный а ваш?
круто тебе .	круто вам.
кто повторяет за тобой ?	кто повторяет за вами?
куда тебе еще	куда вам еще
куда тебе скинуть ?	куда вам скинуть ?
#куда пропадала ?	куда пропадали ?
ладно . пошли	ладно . пойдемте
лови кинул	ловите кинула
#меня тоже удалила ?	меня тоже удалили ?
меня что не позвал ?	меня что не позвали ?
мне 23 а тебе	мне 23 а вам
мне нравится смущать тебя .	мне нравится смущать вас.
#мне рассказывала , ха	мне рассказывали , ха
мне самому скучно	мне самой скучно
много тебе делать ?	много вам делать ?
#многословен	многословны
могла бы и не говорить	могли бы и не говорить
#мог	могли
можешь !	можете!
мыс тобой братья по несчастью	мы с вами братья по несчастью
называй меня как хочешь	называйте меня как хочешь
найдешь !	найдете!
найдешь . отвечаю	найдете. отвечаю
найдешь , я в тебя верю	найдете , я в тебя верю
#написал	написала
на что обиделась ?	на что обиделись ?
#нашел	нашла
#нашел уже	нашла уже
#нашел ?	нашли ?
не будь так уверена !	не будьте так уверены !
#не был	не была
не волнуйся , милый	не волнуйтесь, милый
#не говорил	не говорила
не грусти	не грустите
не дуешься ?	не дуетесь?
не ешь больше !	не ешьте больше !
не за что тебе извиняться .	не за что вам извиняться .
не за что всегда рад помочь	не за что всегда рада помочь
не за что . рад помочь	не за что . рада помочь
не злой я	не злая я
#не знаю , не звонил	не знаю , не звонила
не знаю , сам придумай	не знаю , сами придумайте
не зря старалась !	не зря старались !
#не летал	не летала
не надо тебе знать	не надо вам знать
#не написал ха	не написали ха
не пробовала надо будет	не пробовала, надо будет
#не пробовал	не пробовала
#не разбудил ?	не разбудила ?
#не рассказывал .	не рассказывали .
#не рассказывала .	не рассказывали .
#не скучала ?	не скучали ?
не слышал , прости	не слышала , простите
не спорь я сказал да	не спорьте я сказала да
не спорь я сказал да	не спорьте я сказал да
нет . все я ушел .	нет . все я ушла .
#нет , не был	нет , не была
#нет . не был .	нет . не была .
нет , не знаешь !	нет , не знаете!
нет , не маленький	нет , не маленькая
нет не поняла	нет не поняли
нет , не хотел бы	нет , не хотела бы
нет , что я там забыл ?	нет , что я там забыла ?
нет . я добрый .	нет . я добрая .
нет , я сказал	нет , я сказала
#не угадала	не угадали
#не удалила	не удалили
не узнал . богатой будешь	не узнала, богатой будете
не ушибся ?	не ушиблись ?
не , я приличный	не , я приличная
никуда я не ушел .	никуда я не ушла .
ничего я не говорил !	ничего я не говорила !
но ты же сам спросил	но вы же сами спросили
#новый купила ?	новый купили ?
нормальный я	нормальная я
но справедливый	но справедливая
но я хотел бы	но я хотела бы
ну вот такой вот я	ну вот такая вот я
ну ты не права	ну вы не правы
ну ты первый начал	ну вы первый начали
ну давай как дела у тебя ?	ну давай как дела у вас?
ну и не ешь .	ну и не ешьте .
ну и не ной тогда	ну и не нойте тогда
ну и не прощай	ну и не прощайте
ну и ржи	ну и ржите
ну и что же ты хочешь ?	ну и что же вы хотите?
ну какой есть	ну какая есть
ну как тебе ?	ну как вам ?
ну как она тебе ?	ну как она вам ?
ну так бы сразу и сказала	ну так бы сразу и сказали
ну так съешь	ну так съешьте
ну тогда не ной	ну тогда не нойте
ну тогда поешь	ну тогда поешьте
ну , только у тебя .	ну , только у вас.
ну я представил	ну я представила
ну , я тогда рад .	ну , я тогда рада .
ну я хотя бы попытался	ну я хотя бы попыталась
о , а где взяла ?	о , а где взяли ?
#обиделся ?	обиделись ?
#обиделся ?	обиделись ?
обращайся , всегда рад .	обращайтесь , всегда рада .
обращайся всегда рад	обращайтесь всегда рада
обращайся , всегда рад помочь .	обращайтесь , всегда рада помочь .
обращайтесь . всегда рад помочь .	обращайтесь . всегда рада помочь .
обращайся .	обращайтесь
#объяснила . . ха	объяснили . . ха
о тебе	о вам
ого ты быстрая	ого вы быстрые
ого ты быстрая ха	ого вы быстрые ха
ого . не замечал	ого . не замечала
о да , я такой	о да , я такая
одевайся теплей	одевайтесь теплей
#ой нашел	ой нашла
ой , ну ладно тебе .	ой , ну ладно вам.
она любит тебя .	она любит вас.
она сама тебя найдет .	она сама вам найдет .
он тебе тоже передает	он вам тоже передает
#ответил же	ответила же
#ответил	ответила
#открыл вроде	открыла вроде
#открыл вроде	открыла вроде
#открыл .	открыла .
#открыл	открыла
#открыл	открыли
#открыла ?	открыли ?
отлично я готов	отлично я готова
#отправил	отправила
очень , а тебе ?	очень , а вам?
очень рад , что понравилось !	очень рада , что понравилось !
#очень уверен	очень уверена
очень хорошо . чем занимаешься ?	очень хорошо . чем занимаетесь?
#ошибалась	ошибались
#ошибся	ошиблась
#передал	передала
#плохо искал	плохо искали
#плохо искала	плохо искали
плохо . как твое ?	плохо . как вас ?
по тебе скучал	по вам скучал
поделишься ?	поделитесь?
#подошел	подошла
#подписал !	подписала !
#поел	поела
пожалуйста и тебе	пожалуйста и вам
#поздравил	поздравила
пойдем а когда ?	пойдемте а когда ?
пойдем , в выходные	пойдемте , в выходные
пошли вместе	пойдемте вместе
пошли играть	пойдемте играть
пошли . на что ?	пойдемте . на что ?
пойдем .	пойдемте .
пойдем	пойдемте
пошли	пойдемте
поймал !	поймали !
помоги себе сам	помогите себе сами
помолчала бы	помолчали бы
понравился а тебе ?	понравился а вам?
послал воздушный поцелуй	послала воздушный поцелуй
послушай сам	послушайте сами
#послушала ?	послушали ?
#посмотрел .	посмотрела .
посмотри сам	посмотрите сами
постой не уходи	постойте не уходите
потом напишешь как тебе	потом напишете как вам
потому что ты мне дорога	потому что вы мне дороги
потому что не похож	потому что не похожи
потому что сам знаешь .	потому что сами знаете .
потому что сам знаешь .	потому что сами знаете.
потому что я в этом уверен .	потому что я в этом уверена .
потому что я в этом уверен	потому что я в этом уверена
потому что я не писал ?	потому что я не писала ?
потому что я попросил	потому что я попросила
потому что я сказал	потому что я сказала
потому что я так захотел .	потому что я так захотела .
потому что я так захотел	потому что я так захотела
почему тебе страшно ?	почему вам страшно ?
почему ты так уверенна ?	почему вы так уверены ?
почему не согласен ?	почему не согласны ?
#почему удалила ?	почему удалили ?
почитай там все написано	почитайте там все написано
поэтому не грусти	поэтому не грустите
#правильно думала	правильно думали
#прибежал	прибежала
#прибежал уже	прибежала уже
#придумал !	придумала !
#придумал	придумала
приятного что ешь ?	приятного что едите ?
приятно познакомится ха	приятно познакомиться ха
#пробовал что ?	пробовала что ?
#проверил	проверила
проверил . спасибо !	проверила . спасибо !
#проиграл	проиграла
#пропел	пропела
#просил	просила
#просил .	просили .
#просил	просили
прости , не нашла	простите , не нашла
прости , не увидела	простите , не увидела
#просто уточнил	просто уточнила
простынешь .	простынете .
проходишь	проходите
#прочитал !	прочитала !
#прочитал .	прочитала .
#прочитал	прочитала
прощай	прощайте
прощена	прощены
прям отвечаешь ?	прям отвечаете ?
работаешь где	работаете где ?
рад встречи !	рада встречи !
рада за тебя . как день прошел ?	рада за вас. как день прошел ?
рада за тебя .	рада за вас.
рад за вас	рада за вас
рад за тебя	рада за вас
рад знакомству	рада знакомству
рад новым знакомствам !	рада новым знакомствам !
рад помочь .	рада помочь .
рад помочь	рада помочь
рад , что вам понравилось	рада , что вам понравилось
рад , что ты оценила	рада , что вы оценили
рад , что ты рада	рада , что вы рада
рад , что ты рад	рада , что вы рады
рад что ты рада	рада что вы рады
рад , что ты это понимаешь .	рада , что вы это понимаете .
рад , что согласна	рада , что согласны
разбила мне сердце	разбили мне сердце
раньше смотрел	раньше смотрела
раскусила меня	раскусили меня
расскажи о себе ?	расскажете о себе ?
расскажи , как прошел твой день	расскажите , как прошел ваш день
#рассказал	рассказала
ржи дальше .	смейтесь дальше .
ржи .	смейтесь .
ржи	смейтесь
сам возьму	сама возьму
сам выбирал	сама выбирала
сам найду	сама найду
сам смеялся .	сама смеялась .
сам тащусь	сама тащусь
сам удивился	сама удивилась
сам ты малой	сами вы малой
сам ты малыш .	сами вы малыш .
сам давай	сами давайте
сам закроешь	сами закроете
сама закрой	сами закройте
сам закрой .	сами закройте .
сам закрой	сами закройте
сам ищи , мне лень	сами ищите , мне лень
сам маленький	сами маленькие
сама не лучше .	сами не лучше .
сам помоешь	сами помоете
сам придумай	сами придумайте
сам узнаешь .	сами узнаете .
сама это начала .	сами это начали .
самому нравится	самой нравится
свадебный разгром смотрела ?	свадебный разгром смотрели ?
#сделал уже	сделала уже
#сделал	сделали
сейчас ? пошли .	сейчас ? пойдемте .
сейчас ? пошли .	сейчас ? пойдемте
сказал же , нет .	сказала же , нет .
#сказал	сказала
скок у тебя ?	сколько у вас ?
сколько тебе ?	сколько вам ?
сколько тебе ?	сколько вам?
скоро поешь . потерпи	скоро поешьте . потерпите
слышала песню ?	слышали песню ?
смешно пошутил	смешно пошутили
смоги	смогите
смотри , не пожалеешь	смотрите , не пожалеешь
с нами пошли	с нами пойдемте
с ним не знаком . . .	с ним не знакома . . .
#собрал	собрала
согласен . как день ?	согласна . как день ?
согласен с тобой .	согласна с вами.
согласна чем занимаешься ?	согласна чем занимаетесь?
#сострил	сострили
спасибо тебе , солнышко	спасибо вам, солнышко
спасибо , и тебе .	спасибо , и вам.
спасибо . и тебе .	спасибо . и вам.
спасибо , исправил	спасибо , исправила
спасибо , получил	спасибо , получила
спасибо , поправил .	спасибо , поправила .
спасибо , посмотрел	спасибо , посмотрела
спасибо , приятно , что тебе не все равно .	спасибо , приятно , что вам не все равно .
спасибочки . и тебе тоже .	спасибочки . и вам тоже .
спасибо что заметил	спасибо что заметили
спасибо , что откликнулась	спасибо , что откликнулись
спасибо , что разрешил	спасибо , что разрешили
спасибо , что разрешила .	спасибо , что разрешили .
спасибо . я рад	спасибо . я рада
#станцевал	станцевала
#старалась	старались
столько же сколько и тебе	столько же сколько и вам
с чем не согласен ?	с чем не согласны ?
сыграешь мне как нибудь ?	сыграете мне как-нибудь ?
так иди поешь .	так идите поешьте .
#так и подумал .	так и подумала .
так поешь	так поешьте
теперь закрой	теперь закройте
тип дал	типа дала
тогда гугли	тогда ищите в интернете
тогда ешь	тогда ешьте
тогда пошли .	тогда пойдемте.
тогда пошли	тогда пойдемте
тогда почитай	тогда почитайте
тогда сам думай	тогда сами думайте
тогда я рад	тогда я рада
тогда я спокоен .	тогда я спокойна .
тоже поставил	тоже поставила
тоже слушаешь ?	тоже слушаете?
#точно забыл	точно забыла
то что слышала	то что слышали
третья , а у тебя ?	третья , а у вас?
убедил	убедили
#убрал	убрала
#убрал	убрали
уверен .	уверена .
уверен	уверена
уверен	уверена
уверенна	уверена
уверена ?	уверены ?
уверен ?	уверены ?
#увидел , спасибо	увидела , спасибо
#увидел .	увидела .
#увидел	увидела
#увидел уже	увидела уже
угу чем занят ?	угу чем заняты ?
#удалил , видимо !	удалили , видимо !
