INPUT:input	GOLDEN:result
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""481ad075-ecfa-44c9-a390-b7ddc8102497"",""state0"":{""time"":""2019-05-23 20:38:28"",""extra"":[{""type"":""На экране"",""content"":""16 видео/фильмов/сериалов под соответствующими номерами: \n1. \""Aroused: откровения лучших порно моделей\"" на kinopoisk\n2. \""Рассказ\"" на kinopoisk\n3. \""Интимные места\"" на kinopoisk\n4. \""Касл\"" на amediateka\n5. \""Про любовь 2. Только для взрослых\"" на kinopoisk\n6. \""Звери.\"" на amediateka\n""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/740897"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""галерея видео""},""action0"":{""query"":""включи рассказы для взрослых"",""action"":""Открывается галерея из 16 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Aroused: откровения лучших порно моделей\"" на kinopoisk\n2. \""Рассказ\"" на kinopoisk\n3. \""Интимные места\"" на kinopoisk\n4. \""Касл\"" на amediateka\n5. \""Про любовь 2. Только для взрослых\"" на kinopoisk\n6. \""Звери.\"" на amediateka\n"",""answer"":""У меня нет этого видео. Но есть много других, например, такое.""},""action1"":{""query"":""прочитай мне книжку"",""answer"":""Хорошо, прочитаю""},""session_id"":""uu/8a554f694a72bed11344a3dbccb4a06a_1558625543_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\tsearch\tfactoid"",""req_id"":""e982b304-0a85-4178-93b5-e84d44848a11"",""state0"":{""time"":""2019-05-23 22:12:19"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/35423791 (Эдвард Григ, Ойвин Фьельстад - В пещере горного короля, Cоч. 23 №7)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""включи эдвард григ в пещере горного короля оркестр"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/35423791"",""answer"":""Включаю: Эдвард Григ, Ойвин Фьельстад, альбом \""Григ: Пер Гюнт, Соч. 23\"", песня \""В пещере горного короля, Cоч. 23 №7\"".""},""action1"":{""query"":""молния"",""answer"":""Мо́лния — электрический искровой разряд в атмосфере, обычно может происходить во время грозы, проявляющийся яркой вспышкой света и сопровождающим ее громом""},""session_id"":""uu/2e94ae30b7e4bebc65146691805a34e3_1558637117_0""}"	good
"{""intent"":""personal_assistant\tscenarios\tquasar\tselect_video_from_gallery"",""req_id"":""7816a6eb-3fdf-481b-8f82-d9efebe8bd34"",""state0"":{""time"":""2019-05-23 19:38:32"",""extra"":[{""type"":""На экране"",""content"":""30 видео/фильмов/сериалов под соответствующими номерами: \n1. \""Холодное лето пятьдесят третьего...\"" на kinopoisk\n2. \""Лютер\"" на kinopoisk\n3. \""Линкольн для адвоката\"" на kinopoisk\n4. \""Охотники за разумом\"" на kinopoisk\n5. \""В поисках приключений\"" на kinopoisk\n6. \""Убийца 2. Против всех\"" на kinopoisk\n""}],""screen"":""галерея видео""},""action0"":{""query"":""назад"",""action"":""Осуществляется переход на предыдущий экран""},""action1"":{""query"":""номер три включи"",""action"":""Включается видео - \""Линкольн для адвоката\"" на kinopoisk. "",""answer"":""Включаю.""},""session_id"":""uu/ebab7eb4a9e06e3c5f2b8351a0d486e0_1558614963_0""}"	good
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""3aef056e-763f-47d1-87ee-42c028d0fcbe"",""state0"":{""time"":""2019-05-23 21:31:20"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/733671"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""а нам сюрприз"",""answer"":""Какой такой сюрприз?""},""action1"":{""query"":""я потом узнаю если расскажу вам что было за сюрпризом пока я просто вообще"",""answer"":""Ох, я вся в предвкушении""},""session_id"":""uu/5fce853e8a6b7a7d9a042c7362ca1aa5_1558623730_0""}"	good
"{""intent"":""personal_assistant\tscenarios\tsearch\tentity_name"",""req_id"":""dca9c44e-91df-47af-afba-653c9d69ede7"",""state0"":{""time"":""2019-05-23 22:34:49"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/25427105"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""а какую сказку ты хочешь"",""answer"":""Трудный вопрос, надо подумать""},""action1"":{""query"":""алиса включи айболита"",""answer"":""Айболит — Персонаж нескольких произведений Корнея Чуковского: стихотворных сказок «Бармалей», «Айболит» и «Одолеем Бармалея!», а также прозаической повести «Доктор Айболит». Также Айболит фигурирует в стихотворной сказке «Топтыгин и Лиса».""},""session_id"":""uu/6a93eba78e002eb9e5e2103ca0d9812b_1558640073_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\tvideo_play"",""req_id"":""cbd5f88e-6ba6-417e-93cd-6f101564e3f1"",""state0"":{""time"":""2019-05-23 09:55:55"",""extra"":[],""screen"":""главный экран""},""action0"":{""query"":""домой"",""action"":""Переходит на главный экран""},""action1"":{""query"":""ток шоу шестьдесят минут"",""action"":""Открывается галерея из 9 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Сахар\"" на ivi\n2. \""Природа 3D\"" на ivi\n3. \""Вызов бездне 3D\"" на ivi\n4. \""Красавцы\"" на amediateka\n5. \""Карточный домик\"" на amediateka\n6. \""Клиника\"" на amediateka\n"",""answer"":""Лучше что-то, чем ничего. Кажется, есть такая пословица.""},""session_id"":""uu/0a6fa4b074d42d83b874796246aecbfb_1558591164_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tmusic_play_more"",""req_id"":""4907f160-02c9-4ab5-a174-becf265c1394"",""state0"":{""time"":""2019-05-23 20:21:25"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/51529624"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последнее просмотренное видео"",""content"":""\""10 мифов «правильных» городов | feat. Илья Варламов\"" на youtube"",""playback"":""Сейчас это видео воспроизводится на 9 секунде""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""включи первое"",""action"":""Включается видео - \""10 мифов «правильных» городов | feat. Илья Варламов\"" на youtube. \nСледующее видео в очереди: \""Илья Варламов о Путине, Навальном, Каце и последствиях московского ремонта (18+)\"" на youtube"",""answer"":""Включаю.""},""action1"":{""query"":""прибавь"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/52974545"",""answer"":""Включаю.""},""session_id"":""uu/78a9533b93f5ae8bc199be3455997806_1558631841_0""}"	bad
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""056ebdcd-b379-4cc6-923c-e92fc80a905d"",""state0"":{""time"":""2019-05-23 20:09:02"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/119196"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""включи свет потеплее для свет в гостиной"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/15342822"",""answer"":""Включаю: Апрельский марш, альбом \""Отчёт 1983–1993\"", песня \""Падал тёплый снег\"".""},""action1"":{""query"":""максимально холодный свет в гостиной"",""answer"":""Ха, теперь понятно, спасибо""},""session_id"":""uu/b70276cd76f982a305efa1e3b696d0c0_1558623909_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\tdemomobile2019_horn"",""req_id"":""0d88ba29-da11-4b26-98cf-99f71072f8da"",""state0"":{""time"":""2019-05-23 13:27:16"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/15271"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""что надо сделать дальше"",""answer"":""Есть два предложения: испечь торт или пойти погулять.""},""action1"":{""query"":""голос"",""answer"":""Секундочку...""},""session_id"":""uu/06a5c47543f5b90b6e984cebc028bf71_1558602579_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\ttv_broadcast"",""req_id"":""a2d5620c-d124-48b6-8edd-2204056b3f9e"",""state0"":{""time"":""2019-05-23 10:17:40"",""extra"":[{""type"":""На экране"",""content"":""20 видео/фильмов/сериалов под соответствующими номерами: \n17. \""Какой подарок подарил Борис Моисеев - Лолите (Секрет на миллион 25.09.2016)__1080p\"" на yavideo\n18. \""Борис Моисеев - Секрет на миллион НТВ backstage [2016]\"" на youtube\n19. \""Борис Моисеев Секрет на миллион на НТВ 25.09.2016 в 17.10\"" на youtube\n20. \""Борис Моисеев - Звездочка НТВ Секрет на миллион дубль II 4K UHD [2016]\"" на yavideo\n""}],""screen"":""галерея видео""},""action0"":{""query"":""дальше"",""action"":""Осуществляется переход на следующий экран""},""action1"":{""query"":""программа про бориса моисеева"",""action"":""Открывается галерея из 24 телеканалов по запросу пользователя. На экране отображаются первые 10 телеканалов под соответствующими номерами:\n1. \""Мой Эфир\"" , телепередача - \""Прическа из резинок/Прическа с помощью резинок/Прически с резинками.\""\n2. \""Семейные комедии\"" , телепередача - \""Уроки английского\""\n3. \""Романтика\"" , телепередача - \""Приходи на меня посмотреть\""\n4. \""Сериалы: Сваты\"" , телепередача - \""Сваты - Сезон 4 - Серия 3\""\n5. \""LoL Esports RU автоканал\"" , телепередача - \""VEG vs DFM. Предварительная стадия. Группы. День 2\""\n6. \""ТБН\"" , телепередача - \""Открытая линия. Дефицит семейных ценностей\""\n7. \""Бьюти TV\"" , телепередача - \""Fashion Gala Montage\""\n8. \""Боевики\"" , телепередача - \""Уличный боец\""\n9. \""Музыка: Русский рэп\"" , телепередача - \""Рэп шаффл: Respect Prodaction Часть 4 \""\n10. \""Триллеры\"" , телепередача - \""Фара\""\n"",""answer"":""Вот каналы для вашего региона.""},""session_id"":""uu/e5553f177963fe802e08660682c838f7_1558584876_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tplayer_rewind"",""req_id"":""03a69191-268a-4d4e-b9b4-b6f1a6612eea"",""state0"":{""time"":""2019-05-23 21:34:13"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/29536210"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последний просмотренный сериал"",""content"":""\""Однажды в сказке\"" на ivi. Серия \""Плод ядовитого дерева\"" (1 сезон 11 серия)"",""playback"":""Сейчас это видео воспроизводится на 32 минуте 19 секунде\nСледующая серия в очереди: \""Внешность обманчива\"" (1 сезон 12 серия)""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""перемотай на десять секунд назад"",""action"":""Перематывает назад на 10 секунд""},""action1"":{""query"":""перемотай на десять секунд назад"",""action"":""Перематывает назад на 10 секунд""},""session_id"":""uu/ecb3538926d1790c37ba4421f9c58c78_1558631429_0""}"	good
"{""intent"":""personal_assistant\tscenarios\tdemomobile2019_close_windows"",""req_id"":""f4b9d251-d347-453d-beeb-a689ac9375f5"",""state0"":{""time"":""2019-05-23 17:04:44"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/1710804"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""открой окна"",""answer"":""Хорошо.""},""action1"":{""query"":""закрой окна"",""answer"":""Хорошо.""},""session_id"":""uu/06a5c47543f5b90b6e984cebc028bf71_1558602579_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-05-23 21:11:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/50834580"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""тихо"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""поставь детскую песню прекрасное далеко"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/1597981"",""answer"":""Включаю.""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tquasar\tselect_video_from_gallery"",""req_id"":""23a7ca11-57df-4103-8c4c-2ad0a2fc1002"",""state0"":{""time"":""2019-05-23 20:44:03"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-05-24 07:00:00""},{""type"":""На экране"",""content"":""20 видео/фильмов/сериалов под соответствующими номерами: \n1. \""Семейство слонов.  Документальный фильм.\"" на youtube\n2. \""Слон.  развивающее видео для детей.\"" на youtube\n3. \""Подарок для слона.  Мультик.\"" на yavideo\n4. \""Была у слона мечта (1973) \"" Добрые советские мультфильмы \"" http://vk.com/club54443855\"" на yavideo\n""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/49204011"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""галерея видео""},""action0"":{""query"":""включи видео про слона"",""action"":""Открывается галерея из 20 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Семейство слонов.  Документальный фильм.\"" на youtube\n2. \""Слон.  развивающее видео для детей.\"" на youtube\n3. \""Подарок для слона.  Мультик.\"" на yavideo\n4. \""Была у слона мечта (1973) \"" Добрые советские мультфильмы \"" http://vk.com/club54443855\"" на yavideo\n5. \""Мультики: Слоненок\"" на youtube\n6. \""Голубой слоненок (1976).  Мультфильм про слоненка и друзей | Мультфильмы.\"" на youtube\n"",""answer"":""Видеоролики по запросу «про слона»""},""action1"":{""query"":""номер один"",""action"":""Включается видео - \""Семейство слонов. Документальный фильм.\"" на youtube. \nСледующее видео в очереди: \""Слон.  развивающее видео для детей.\"" на youtube"",""answer"":""Включаю.""},""session_id"":""uu/5da533161fd1dc20cba140dfc787e3c2_1558628850_0""}"	good
"{""intent"":""personal_assistant\tscenarios\tget_time"",""req_id"":""d44da5d5-be0c-412e-bd87-d5172412c3b3"",""state0"":{""time"":""2019-05-23 08:34:42"",""extra"":[],""screen"":""не подключено к телевизору""},""action0"":{""query"":""стоп"",""action"":""Выключается таймер""},""action1"":{""query"":""время"",""answer"":""Сейчас 8:34.""},""session_id"":""uu/be45d0d92792cf71e9e63cd4e6e9faa3_1558583215_0""}"	good

"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-05-19 19:11:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/39164351"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Алиса, тихо"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню кому на руси жить хорошо"",""action"":""Первый трек, который включится: https://music.yandex.ru/album/4059291/track/33225668"",""answer"":""Я не нашла такой песни. Это вам не подойдет?""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-05-20 11:11:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/53768971"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Алиса, тихо"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню я не поеду в саратов"",""answer"":""Я не знаю такой песни""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-05-22 21:10:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/23897888"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Алиса, тихо"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню мой дядя самых честных правил"",""answer"":""Я не знаю такой песни""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/1108794"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Поставь на паузу"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""поставь all you need is love"",""action"":""Первый трек, который включится: https://music.yandex.ru/album/7646479/track/51848398"",""answer"":""Включаю I need you""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/354182"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Поставь на паузу"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню я люблю тебя марина"",""action"":""Первый трек, который включится: https://music.yandex.ru/album/5874989/track/43965446"",""answer"":""Включаю""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/34523770"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""пауза"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню если б я был королем"",""action"":""Первый трек, который включится: https://music.yandex.ru/album/3662720/track/30252323"",""answer"":""Включаю""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part
