kaç kilometre	"kaç kilometre"(route_action_type)
kaç dakikaya orada olurum	"kaç dakikaya"(route_action_type) orada olurum
kaç dakkası var bitmesine	"kaç dakkası"(route_action_type) var bitmesine
kaç diyorum	"kaç"(route_action_type) diyorum
kaç kaç kilometre var	"kaç"(route_action_type) "kaç kilometre"(route_action_type) var
kaç kilometre arabayla gitcez	"kaç kilometre"(route_action_type) "arabayla"(route_type) gitcez
kaç kilometre burdan	"kaç kilometre"(route_action_type) "burdan"(what_from)
kaç kilometre gideceğim yer	"kaç kilometre"(route_action_type) gideceğim yer
kaç kilometre kaç dakika	"kaç kilometre"(route_action_type) "kaç dakika"(route_action_type)
kaç kilometre kaç kilometre	"kaç kilometre"(route_action_type) "kaç kilometre"(route_action_type)
kaç kilometre uzaklıkta	"kaç kilometre uzaklıkta"(route_action_type)
kaç kilometre yola gidiyoruz	"kaç kilometre"(route_action_type) yola gidiyoruz
kaç kilometre yolumuz var	"kaç kilometre"(route_action_type) yolumuz var
kaç metre benden uzak	"kaç metre"(route_action_type) benden uzak
kaç saat olarak	"kaç saat"(route_action_type) olarak
kaç saatte	"kaç saatte"(route_action_type)
kilometre mesafe	"kilometre mesafe"(route_action_type)
lütfen konuşun diyor kaç kilometre kaldı	lütfen konuşun diyor "kaç kilometre"(route_action_type) kaldı
lütfen konuşun diyor ne konuşayım kaç kilometre var	lütfen konuşun diyor ne konuşayım "kaç kilometre"(route_action_type) var
lütfen konuşun tam olarak kaç saat	lütfen konuşun tam olarak "kaç saat"(route_action_type)
