haberleri aç	"haberleri"(target_type) aç	open news
edevlet uygulamasına gir	"edevlet uygulamasına"(target_type) gir	go to edevlet app
letgoya girmek istiyorum	"letgoya"(target_type) girmek istiyorum	I want to go to letgo
letgoda eşya arayalım	"letgoda"(target_type) eşya arayalım	let's search at letgo
uygulamalarımı açar mısın yandex	"uygulamalarımı"(target) açar mısın yandex	can you open my applications yandex
mesajlarıma girer misin	"mesajlarıma"(target) girer misin	can you go to my messages
yeni mesajım var mı	yeni "mesajım"(target) var mı	do I have a new message
sms yollamak istiyorum	"sms"(target) yollamak istiyorum	I want to send SMS
whatsapp yollamam gerek	"whatsapp"(target_type) yollamam gerek	I have to send whatsapp
youtube komik video aç	"youtube" (target_type)komik video aç	open youtube funny video
kişilerime gir	"kişilerime"(target) gir	go to my contacts
kontaklara gir	"kontaklara"(target) gir	go to contacts
arama yapalım	"arama"(target) yapalım	let's make a call
annemi aramak istiyorum	annemi aramak istiyorum	I want to call my mother
babamı arasana	babamı arasana	call my father
kişilerime gir	"kişilerime"(target) gir	go to my contacts
kişilerime gir babam	"kişilerime"(target) gir babam	go to my contacts my father
müziklerime gir	"müziklerime"(target) gir	go to my music
alarma gir	"alarma"(target) gir	go to alarm
saati kurucam	"saati"(target) kurucam	I'll set time
saati aç alarm kuralım	"saati aç"(target) "alarm"(target) kuralım	open time let's set the alarm
hava durumunu açar mısın	"hava durumunu"(target) açar mısın	can you open weather
interneti aç	"interneti"(target) aç	open internet
bluetoothu aç	"bluetoothu"(target) aç	open bluetooth
wi fi aç	"wi fi"(target) aç	open wi fi
feneri aç	"feneri"(target) aç	open flashlight
ışığı aç	"ışığı"(target) aç	open light
mobil veriyi aç	"mobil veriyi"(target) aç	open mobile data
uçak modunu aç	"uçak modunu"(target) aç	open airplane mood
hotspot açsana	"hotspot"(target) açsana	open hotspot
airdrop açık mı	"airdrop"(target) açık mı	is airdrop open
airdropa gir	"airdropa"(target) gir	go to airdrop
albümlere gir	"albümlere"(target) gir	go to albums
garanti.com.trye git	"garanti.com.trye"(target_type) git	go to garanti.com.tr
onedioyu aç	"onedioyu"(target_type) aç	open onedio
onedio.com a girsene	"onedio.com"(target_type) a girsene	go to onedio.com
sabah gazetesini aç	"sabah gazetesini"(target_type) aç	open sabah newspaper
sabahı aç	"sabahı"(target_type) aç	open sabah
google açsana	"google"(target_type) açsana	open google
google'da arama yapmak istiyorum	"google'da"(target_type) arama yapmak istiyorum	I want to make a search on google
yandex arama motorunu aç	"yandex arama motorunu"(target_type) aç	open yandex search engine
yandex'e gir	"yandex'e"(target_type) gir	go to yandex
youtube websitesi	"youtube websitesi"(target_type)	youtube website
youtube uygulamasına gir	"youtube uygulamasına"(target_type) gir	go to youtube app
youtubeda müzik aç	"youtubeda"(target_type) "müzik"(target_type) aç	open music on youtube
sahibindene gir	"sahibindene"(target_type) gir	go to sahibinden
sahibinden sitesine git	"sahibinden sitesine"(target_type) git	go to sahibinden site
sahibinden uygulamasını aç	"sahibinden uygulamasını"(target_type) aç	open sahibinden app
haber7'yi açsana	"haber7'yi"(target_type) açsana	open haber7
haber7 haberler	"haber7"(target_type) haberler	haber7 news
ensonhabere git	"ensonhabere"(target_type) git	go to ensonhaber
google mapsleri aç	"google mapsleri"(target_type) aç	open google maps
google mapsi aç	"google mapsi"(target_type) aç	open google maps
google haritaları aç	"google haritaları"(target_type) aç	open google maps
yandex haritalara girsene	"yandex haritalara"(target_type) girsene	go to yandex maps
notları aç	"notları"(target) aç	open notes
notlara gir	"notlara"(target) gir	go to notes
app store u aç	"app store u"(target_type) aç	open app store
app store uygulamasına gir	"app store uygulamasına"(target_type)  gir	open app store app
itunes a gir	"itunes a"(target_type)  gir	go to itunes
itunesu aç	"itunesu"(target_type)  aç	open itunes
kişisel erişimi aç	"kişisel erişimi"(target) aç	open personal hotspot
kişisel erişim noktası	"kişisel erişim noktası"(target)	personal hotspot
bildirimlerime git	"bildirimlerime"(target) git	go to notifications
denetim merkezine git	"denetim merkezine"(target) git	go to system preferences
siriyi aç	"siriyi"(target_type) aç	open siri
videolara git	"videolara"(target) git	go to videos
fotoğraflara git	"fotoğraflara"(target) git	go to photos
